SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,352.768,689,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,35026.9
3,1178.11,2301,10,protocol,7.5,20,18,0.9,0,0,0,0,0,0,0,0,0,0,0,0,8372.62
4,1201.15,2346,10,protocol,7.5,30,20,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,4727.03
5,1148.42,2243,10,protocol,7.5,30,14,0.466667,0,0,0,0,0,0,0,0,0,0,0,0,3306.2
6,1181.7,2308,10,protocol,7.5,40,38,0.95,0,0,0,0,0,0,0,0,0,0,0,0,2538.81
7,1263.62,2468,10,protocol,7.5,50,56,1.12,0,0,0,0,0,0,0,0,0,0,0,0,2043.74
8,1253.89,2449,10,protocol,7.5,50,56,1.12,0,0,0,0,0,0,0,0,0,0,0,0,1710.54
9,1260.03,2461,10,protocol,7.5,60,70,1.16667,0,0,0,0,0,0,0,0,0,0,0,0,1467.28
10,1251.84,2445,10,protocol,7.5,70,86,1.22857,0,0,0,0.9,0.9,0.9,0.3,0.225,0.225,0.225,0.225,0.225,1283.29
11,1239.04,2420,10,protocol,7.5,70,88,1.25714,0,0,0,0.944444,0.95,0.95,0.316667,0.2375,0.2375,0.2375,0.2375,0.2375,1140.25
12,1144.32,2235,10,protocol,7.5,80,87,1.0875,0,0,0,0,0.9,0.75,0.3,0.225,0.18,0.18,0.18,0.18,1027.78
13,716.8,1400,10,protocol,7.5,80,87,1.0875,0,0,0,0,1,0.37037,0.333333,0.25,0.2,0.2,0.2,0.2,960.841
14,0,0,10,protocol,7.5,100,95,0.95,0,0,0,0,0.8,0.266667,0.266667,0.2,0.16,0.16,0.16,0.16,941.356
15,0,0,10,protocol,7.5,100,80,0.8,0,0,0,0,0,0,0,0,0,0,0,0,922.612
16,0,0,10,protocol,7.5,110,80,0.727273,20,16,0.8,0.8,0.307692,0.16,0.133333,0.114286,0.1,0.1,0.1,0.1,903.718
17,0,0,10,protocol,7.5,120,107,0.891667,40,40,1,1,0.5,0.333333,0.25974,0.25,0.222222,0.222222,0.222222,0.222222,886.093
18,0,0,10,protocol,7.5,120,105,0.875,34,34,1,1,0.5,0.285714,0.25,0.25,0.20202,0.20202,0.20202,0.20202,868.653
