SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,324.096,633,10,protocol,7.5,10,18,1.8,0,0,0,0,0,0,0,0,0,0,0,0,42766.6
3,1075.2,2100,10,protocol,7.5,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,10488.5
4,1071.62,2093,10,protocol,7.5,30,20,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,5958.33
5,1072.64,2095,10,protocol,7.5,30,18,0.6,0,0,0,0,0,0,0,0,0,0,0,0,4152.31
6,1072.64,2095,10,protocol,7.5,40,40,1,0,0,0,0,0,0,0,0,0,0,0,0,3175.9
7,1072.13,2094,10,protocol,7.5,50,58,1.16,0,0,0,0,0,0,0,0,0,0,0,0,2564.7
8,1071.62,2093,10,protocol,7.5,50,58,1.16,0,0,0,0,0,0,0,0,0,0,0,0,2149.12
9,1076.22,2102,10,protocol,7.5,60,69,1.15,0,0,0,0,0,0,0,0,0,0,0,0,1844.66
10,1069.57,2089,10,protocol,7.5,70,89,1.27143,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,1614.18
11,1064.96,2080,10,protocol,7.5,70,84,1.2,0,0,0,0.888889,0.9,0.9,0.3,0.225,0.225,0.225,0.225,0.225,1434.22
12,1059.33,2069,10,protocol,7.5,80,89,1.1125,0,0,0,0,0.95,0.791667,0.316667,0.2375,0.19,0.19,0.19,0.19,1288.34
13,700.928,1369,10,protocol,7.5,80,76,0.95,0,0,0,0,0.7,0.259259,0.233333,0.175,0.14,0.14,0.14,0.14,1196.53
14,0,0,10,protocol,7.5,100,90,0.9,0,0,0,0,0.6,0.2,0.2,0.15,0.12,0.12,0.12,0.12,1167.97
15,0,0,10,protocol,7.5,100,80,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1141.21
16,0,0,10,protocol,7.5,110,80,0.727273,20,16,0.8,0.8,0.307692,0.16,0.133333,0.114286,0.1,0.1,0.1,0.1,1114.5
17,0,0,10,protocol,7.5,120,107,0.891667,40,40,1,1,0.5,0.333333,0.25974,0.25,0.222222,0.222222,0.222222,0.222222,1087.9
18,0,0,10,protocol,7.5,120,106,0.883333,34,34,1,1,0.5,0.285714,0.25,0.25,0.20202,0.20202,0.20202,0.20202,1062.73
