SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.512,1,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0.705206
3,2.048,4,10,protocol,7.5,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.548052
4,2.048,4,10,protocol,7.5,30,20,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.492844
5,0,0,10,protocol,7.5,30,20,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.574682
6,0,0,10,protocol,7.5,40,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0.617452
7,0,0,10,protocol,7.5,50,60,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.62735
8,0,0,10,protocol,7.5,50,60,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.631357
9,0,0,10,protocol,7.5,60,70,1.16667,0,0,0,0,0,0,0,0,0,0,0,0,0.628989
10,0,0,10,protocol,7.5,70,90,1.28571,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,0.622185
11,0,0,10,protocol,7.5,70,90,1.28571,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,0.618003
12,0,0,10,protocol,7.5,80,90,1.125,0,0,0,0,1,0.833333,0.333333,0.25,0.2,0.2,0.2,0.2,0.614159
13,0,0,10,protocol,7.5,80,87,1.0875,0,0,0,0,1,0.37037,0.333333,0.25,0.2,0.2,0.2,0.2,0.608055
14,0,0,10,protocol,7.5,100,87,0.87,0,0,0,0,0.4,0.133333,0.133333,0.1,0.08,0.08,0.08,0.08,0.590449
15,0,0,10,protocol,7.5,100,80,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.566895
16,0,0,10,protocol,7.5,110,84,0.763636,20,20,1,1,0.384615,0.2,0.166667,0.142857,0.125,0.125,0.125,0.125,0.544223
17,0,0,10,protocol,7.5,120,107,0.891667,40,40,1,1,0.5,0.333333,0.25974,0.25,0.222222,0.222222,0.222222,0.222222,0.523375
18,0,0,10,protocol,7.5,120,106,0.883333,34,34,1,1,0.5,0.285714,0.25,0.25,0.20202,0.20202,0.20202,0.20202,0.504722
19,0,0,10,protocol,7.5,130,120,0.923077,20,20,1,1,0.625,0.333333,0.272727,0.25,0.181818,0.181818,0.181818,0.181818,0.487154
