SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,34.816,68,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,22719.3
3,16.384,32,10,protocol,7.5,10,15,1.5,0,0,0,0,0,0,0,0,0,0,0,0,7872.61
4,0,0,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,4999.5
5,0,0,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,3662.18
6,0,0,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2873.4
7,0,0,10,protocol,7.5,30,53,1.76667,0,0,0,0,0,0,0,0,0,0,0,0,2363.6
8,0,0,10,protocol,7.5,30,61,2.03333,0,0,0,0,0,0,0,0,0,0,0,0,2009.27
9,0,0,10,protocol,7.5,30,65,2.16667,0,0,0,0,0,0,0,0,0,0,0,0,1746.52
10,0,0,10,protocol,7.5,40,55,1.375,0,0,0,0,0,0,0,0,0,0,0,0,1541.6
11,0,0,10,protocol,7.5,40,83,2.075,0,0,0,0,0,0,0,0,0,0,0,0,1496.73
12,6.656,13,10,protocol,7.5,40,90,2.25,0,0,0,0,0,0,0,0,0,0,0,0,1469.93
13,553.472,1081,10,protocol,7.5,50,70,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1188.37
14,562.688,1099,10,protocol,7.5,50,43,0.86,0,0,0,0,0,0,0,0,0,0,0,0,997.819
15,561.664,1097,10,protocol,7.5,50,41,0.82,0,0,0,0,0,0,0,0,0,0,0,0,859.346
16,553.472,1081,10,protocol,7.5,50,39,0.78,0,0,0,0,0,0,0,0,0,0,0,0,752.746
17,638.464,1247,10,protocol,7.5,50,57,1.14,0,0,0,0,0.75,0.375,0.375,0.340909,0.25,0.25,0.25,0.25,665.26
18,582.656,1138,10,protocol,7.5,60,65,1.08333,0,0,0,0.833333,0.85,0.607143,0.283333,0.2125,0.184783,0.184783,0.184783,0.184783,599.13
19,612.352,1196,10,protocol,7.5,60,65,1.08333,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,541.639
20,712.704,1392,10,protocol,7.5,60,50,0.833333,0,0,0,0.9,0.9,0.9,0.3,0.225,0.225,0.225,0.225,0.225,490.035
