SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0.823364
3,0,0,10,protocol,7.5,10,18,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.856118
4,0,0,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.837776
5,0,0,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.82351
6,0,0,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.815034
7,0,0,10,protocol,7.5,30,80,2.66667,0,0,0,0,0,0,0,0,0,0,0,0,0.805001
8,0,0,10,protocol,7.5,30,84,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.795186
9,0,0,10,protocol,7.5,30,77,2.56667,0,0,0,0,0,0,0,0,0,0,0,0,0.787573
10,0,0,10,protocol,7.5,40,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0.775207
11,0,0,10,protocol,7.5,40,80,2,0,0,0,0,0,0,0,0,0,0,0,0,0.764648
12,0,0,10,protocol,7.5,40,78,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0.755871
13,0,0,10,protocol,7.5,50,86,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0.757506
14,0,0,10,protocol,7.5,50,79,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0.758346
15,0,0,10,protocol,7.5,50,60,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.757477
16,0,0,10,protocol,7.5,50,58,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0.761198
17,0,0,10,protocol,7.5,50,98,1.96,0,0,0,0,1,0.5,0.5,0.454545,0.333333,0.333333,0.333333,0.333333,0.761285
18,0,0,10,protocol,7.5,60,94,1.56667,0,0,0,0.944444,0.95,0.678571,0.316667,0.2375,0.206522,0.206522,0.206522,0.206522,0.758954
19,0,0,10,protocol,7.5,60,92,1.53333,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,0.756938
20,0,0,10,protocol,7.5,60,91,1.51667,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,0.755398
21,0,0,10,protocol,7.5,70,125,1.78571,0,0,0,1,0.983333,0.7375,0.475806,0.421429,0.421429,0.421429,0.421429,0.421429,0.751955
