SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2.048,4,10,protocol,7.5,10,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0.829768
3,6.144,12,10,protocol,7.5,20,43,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0.838865
4,10.24,20,10,protocol,7.5,30,117,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.831228
5,10.24,20,10,protocol,7.5,30,123,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.798943
6,10.24,20,10,protocol,7.5,40,209,5.225,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.768089
7,10.24,20,10,protocol,7.5,50,244,4.88,0,0,0,1,1,1,0.5,0.333333,0.2,0.2,0.2,0.2,0.744974
8,10.24,20,10,protocol,7.5,60,242,4.03333,0,0,0,1,1,1,0.5,0.333333,0.2,0.2,0.2,0.2,0.721363
9,9.728,19,10,protocol,7.5,60,226,3.76667,0,0,0,1,1,1,0.5,0.263158,0.2,0.2,0.2,0.2,0.70448
10,10.24,20,10,protocol,7.5,70,264,3.77143,0,0,0,1,1,1,0.5,0.333333,0.25,0.25,0.25,0.25,0.686121
11,9.728,19,10,protocol,7.5,80,306,3.825,0,0,0,1,0.9,0.9,0.310345,0.225,0.163636,0.163636,0.163636,0.163636,0.674378
12,6.144,12,10,protocol,7.5,90,314,3.48889,0,0,0,1,0.333333,0.25,0.125,0.0909091,0.0666667,0.0666667,0.0666667,0.0666667,0.657957
13,12.288,24,10,protocol,7.5,90,325,3.61111,0,0,0,1,0.333333,0.25,0.11236,0.0784314,0.0666667,0.0666667,0.0666667,0.0666667,0.663013
14,8.704,17,10,protocol,7.5,100,371,3.71,0,0,0,1,0.5875,0.398305,0.235,0.156667,0.132022,0.132022,0.132022,0.132022,0.661477
15,7.68,15,10,protocol,7.5,110,335,3.04545,0,0,0,1,0.4375,0.243056,0.154867,0.0988701,0.0795455,0.0795455,0.0795455,0.0795455,0.650911
16,9.216,18,10,protocol,7.5,120,455,3.79167,0,0,0,1,0.629032,0.354545,0.245283,0.1625,0.139286,0.139286,0.139286,0.139286,0.63781
17,5.632,11,10,protocol,7.5,120,381,3.175,0,0,0,0.975,0.485507,0.304545,0.216129,0.134,0.119643,0.119643,0.119643,0.119643,0.626323
