SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2.048,4,10,protocol,7.5,10,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0.829768
3,8.192,16,10,protocol,7.5,20,43,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0.850208
4,10.24,20,10,protocol,7.5,30,120,4,0,0,0,0,0,0,0,0,0,0,0,0,0.829162
5,10.24,20,10,protocol,7.5,30,123,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.797097
6,10.24,20,10,protocol,7.5,40,209,5.225,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.766642
7,10.24,20,10,protocol,7.5,50,244,4.88,0,0,0,1,1,1,0.5,0.333333,0.2,0.2,0.2,0.2,0.744456
8,10.24,20,10,protocol,7.5,60,241,4.01667,0,0,0,1,1,1,0.5,0.333333,0.2,0.2,0.2,0.2,0.72105
9,9.728,19,10,protocol,7.5,60,220,3.66667,0,0,0,1,0.95,0.95,0.475,0.25,0.19,0.19,0.19,0.19,0.704659
10,10.24,20,10,protocol,7.5,70,252,3.6,0,0,0,1,0.975,0.975,0.4875,0.325,0.24375,0.24375,0.24375,0.24375,0.687012
11,9.728,19,10,protocol,7.5,80,316,3.95,0,0,0,1,0.925,0.925,0.318966,0.23125,0.168182,0.168182,0.168182,0.168182,0.669929
12,8.192,16,10,protocol,7.5,90,308,3.42222,0,0,0,1,0.333333,0.25,0.125,0.0909091,0.0666667,0.0666667,0.0666667,0.0666667,0.655712
13,11.776,23,10,protocol,7.5,90,334,3.71111,0,0,0,1,0.333333,0.25,0.11236,0.0784314,0.0666667,0.0666667,0.0666667,0.0666667,0.651303
14,8.704,17,10,protocol,7.5,100,373,3.73,0,0,0,1,0.5875,0.398305,0.235,0.156667,0.132022,0.132022,0.132022,0.132022,0.649623
15,8.192,16,10,protocol,7.5,110,335,3.04545,0,0,0,1,0.425,0.236111,0.150442,0.0960452,0.0772727,0.0772727,0.0772727,0.0772727,0.636843
16,11.264,22,10,protocol,7.5,120,455,3.79167,0,0,0,1,0.637097,0.359091,0.248428,0.164583,0.141071,0.141071,0.141071,0.141071,0.626622
17,7.168,14,10,protocol,7.5,120,367,3.05833,0,0,0,0.95,0.471014,0.295455,0.209677,0.13,0.116071,0.116071,0.116071,0.116071,0.624977
