SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,8.192,16,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,25987.2
3,0,0,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,7365.21
4,0,0,10,protocol,7.5,20,47,2.35,0,0,0,0,0,0,0,0,0,0,0,0,4263.38
5,0,0,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,3861.18
6,12.288,24,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2935.5
7,17.92,35,10,protocol,7.5,30,53,1.76667,0,0,0,0,0,0,0,0,0,0,0,0,2279.96
8,44.032,86,10,protocol,7.5,30,61,2.03333,0,0,0,0,0,0,0,0,0,0,0,0,1888.31
9,0,0,10,protocol,7.5,30,74,2.46667,0,0,0,0,0,0,0,0,0,0,0,0,1602.06
10,0,0,10,protocol,7.5,40,68,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1376.67
11,0,0,10,protocol,7.5,40,69,1.725,0,0,0,0,0,0,0,0,0,0,0,0,1205.82
12,0,0,10,protocol,7.5,40,61,1.525,0,0,0,0,0,0,0,0,0,0,0,0,1070.77
13,536.064,1047,10,protocol,7.5,50,49,0.98,0,0,0,0,0,0,0,0,0,0,0,0,893.309
14,587.264,1147,10,protocol,7.5,50,53,1.06,0,0,0,0,0,0,0,0,0,0,0,0,778.162
15,671.744,1312,10,protocol,7.5,50,65,1.3,0,0,0,0,0,0,0,0,0,0,0,0,714.126
16,692.736,1353,10,protocol,7.5,50,65,1.3,0,0,0,0,0,0,0,0,0,0,0,0,658.926
17,687.104,1342,10,protocol,7.5,50,89,1.78,0,0,0,0,0.95,0.475,0.475,0.431818,0.316667,0.316667,0.316667,0.316667,611.375
18,655.872,1281,10,protocol,7.5,60,76,1.26667,0,0,0,0.833333,0.85,0.607143,0.283333,0.2125,0.184783,0.184783,0.184783,0.184783,562.68
19,594.432,1161,10,protocol,7.5,60,62,1.03333,0,0,0,0.9,0.9,0.9,0.3,0.225,0.225,0.225,0.225,0.225,509.834
20,705.536,1378,10,protocol,7.5,60,45,0.75,0,0,0,0.95,0.95,0.95,0.316667,0.2375,0.2375,0.2375,0.2375,0.2375,466.074
