SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,167215
3,0,0,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,71698.9
4,0,0,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,45852.2
5,0,0,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,34522.1
6,0,0,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,27449.1
7,0,0,10,protocol,7.5,30,78,2.6,0,0,0,0,0,0,0,0,0,0,0,0,22265.7
8,0,0,10,protocol,7.5,30,85,2.83333,0,0,0,0,0,0,0,0,0,0,0,0,18936.2
9,0,0,10,protocol,7.5,30,78,2.6,0,0,0,0,0,0,0,0,0,0,0,0,16442
10,0,0,10,protocol,7.5,40,80,2,0,0,0,0,0,0,0,0,0,0,0,0,14525
11,0,0,10,protocol,7.5,40,79,1.975,0,0,0,0,0,0,0,0,0,0,0,0,13002
12,0,0,10,protocol,7.5,40,80,2,0,0,0,0,0,0,0,0,0,0,0,0,11724.7
13,0,0,10,protocol,7.5,50,69,1.38,0,0,0,0,0,0,0,0,0,0,0,0,9946.23
14,0,0,10,protocol,7.5,50,86,1.72,0,0,0,0,0,0,0,0,0,0,0,0,8597.96
15,0,0,10,protocol,7.5,50,58,1.16,0,0,0,0,0,0,0,0,0,0,0,0,7633.48
16,0,0,10,protocol,7.5,50,59,1.18,0,0,0,0,0,0,0,0,0,0,0,0,6854.32
17,0,0,10,protocol,7.5,50,101,2.02,0,0,0,0,0.95,0.475,0.475,0.431818,0.316667,0.316667,0.316667,0.316667,6255.9
18,0,0,10,protocol,7.5,60,90,1.5,0,0,0,0.944444,0.95,0.678571,0.316667,0.2375,0.206522,0.206522,0.206522,0.206522,5756.35
19,0,0,10,protocol,7.5,60,91,1.51667,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,5336.41
20,0,0,10,protocol,7.5,60,92,1.53333,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,4969.11
21,0,0,10,protocol,7.5,70,122,1.74286,0,0,0,0.975,0.95,0.7125,0.459677,0.407143,0.407143,0.407143,0.407143,0.407143,4631.91
