SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,400,947,2.3675,286,266,0.93007,0.79918,0.508047,0.315561,0.22462,0.174081,0.150844,0.150844,0.150844,0.150844,0.345398
3,0,0,10,protocol,7.5,400,988,2.47,358,335,0.935754,0.787276,0.519453,0.323934,0.225057,0.181351,0.155468,0.155468,0.155468,0.155468,0.380626
4,0,0,10,protocol,7.5,400,1124,2.81,334,329,0.98503,0.85061,0.590336,0.374168,0.251567,0.203181,0.175735,0.175735,0.175735,0.175735,0.370318
5,0,0,10,protocol,7.5,400,1009,2.5225,348,336,0.965517,0.790698,0.527444,0.324542,0.218682,0.181019,0.157854,0.157854,0.157854,0.157854,0.356104
6,0,0,10,protocol,7.5,400,995,2.4875,282,275,0.975177,0.795585,0.498497,0.310937,0.214163,0.177806,0.152187,0.152187,0.152187,0.152187,0.345682
7,0,0,10,protocol,7.5,400,896,2.24,262,245,0.935115,0.759184,0.430769,0.276714,0.191289,0.159091,0.135799,0.135799,0.135799,0.135799,0.348419
8,0,0,10,protocol,7.5,400,865,2.1625,232,216,0.931034,0.710581,0.406485,0.254113,0.183925,0.152935,0.129414,0.129414,0.129414,0.129414,0.357241
9,0,0,10,protocol,7.5,400,787,1.9675,232,186,0.801724,0.617934,0.369484,0.229045,0.163549,0.136965,0.115599,0.115599,0.115599,0.115599,0.372729
